epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1999.46,2.41574,1.47067,0.99522,0.51356,0.57099,0.46993,0.18138,2.13641,1.36874,0.90924,0.007591,0.007591,0.007591
75,2026.96,2.40393,1.64327,1.14397,0.40336,0.42676,0.29763,0.08988,2.31649,1.68504,0.92676,0.007558,0.007558,0.007558
76,2054.24,2.46032,1.52539,1.00492,0.64913,0.42573,0.47082,0.19981,2.07683,1.27364,0.89565,0.007525,0.007525,0.007525
77,2081.83,2.4156,1.61038,1.06477,0.54461,0.50282,0.49398,0.20358,2.04384,1.26685,0.8775,0.007492,0.007492,0.007492
78,2109.4,2.35787,1.54844,1.0785,0.76194,0.36989,0.45886,0.18944,2.04648,1.26349,0.88483,0.007459,0.007459,0.007459
79,2136.78,2.34988,1.54723,1.0434,0.52618,0.40773,0.39534,0.16569,2.05796,1.30514,0.88079,0.007426,0.007426,0.007426
80,2164.14,2.32686,1.57944,1.08018,0.54377,0.57881,0.40248,0.16733,2.03384,1.31426,0.89765,0.007393,0.007393,0.007393
81,2191.53,2.36346,1.65682,1.13921,0.53792,0.51729,0.46828,0.21796,1.9109,1.18942,0.88136,0.00736,0.00736,0.00736
82,2219.03,2.39583,1.4743,0.98438,0.29698,0.44407,0.37723,0.11699,2.25671,1.50569,0.92962,0.007327,0.007327,0.007327
83,2246.87,2.34749,1.64914,1.10559,0.61448,0.50356,0.46282,0.17457,2.11801,1.22636,0.9054,0.007294,0.007294,0.007294
84,2274.13,2.33508,1.43351,0.992,0.69007,0.39041,0.44063,0.18047,2.06902,1.28629,0.90039,0.007261,0.007261,0.007261
85,2301.32,2.29695,1.54183,1.09527,0.645,0.38217,0.45106,0.19946,2.01376,1.29681,0.89455,0.007228,0.007228,0.007228
86,2328.77,2.38504,1.51944,1.02287,0.65634,0.52391,0.41827,0.19605,1.99399,1.25063,0.88674,0.007195,0.007195,0.007195
87,2356.48,2.30385,1.43656,1.03761,0.66259,0.50987,0.45369,0.19744,1.99277,1.19853,0.88726,0.007162,0.007162,0.007162
88,2383.89,2.27823,1.4974,1.05161,0.63175,0.4408,0.44989,0.17814,2.01677,1.2938,0.88677,0.007129,0.007129,0.007129
89,2411.2,2.31079,1.46455,0.99222,0.58852,0.40668,0.45932,0.19525,2.03212,1.27695,0.88643,0.007096,0.007096,0.007096
90,2439.11,2.37466,1.5151,1.05643,0.60813,0.5051,0.517,0.23175,1.95662,1.23062,0.88693,0.007063,0.007063,0.007063
91,2466.64,2.286,1.5101,1.09389,0.68679,0.42057,0.47651,0.2018,2.03021,1.22157,0.88543,0.00703,0.00703,0.00703
92,2494.11,2.27657,1.54872,1.0906,0.70082,0.38609,0.49365,0.22315,1.98608,1.18986,0.8785,0.006997,0.006997,0.006997
93,2521.93,2.21587,1.40324,0.97672,0.28,0.50124,0.41362,0.20651,1.89754,1.51993,0.87405,0.006964,0.006964,0.006964
94,2549.2,2.1726,1.5592,1.10386,0.32865,0.60324,0.53499,0.19692,2.03021,1.27879,0.88768,0.006931,0.006931,0.006931
95,2576.58,2.2497,1.36511,0.97458,0.36551,0.53029,0.4424,0.17849,1.93097,1.26745,0.87411,0.006898,0.006898,0.006898
96,2604,2.27317,1.42051,1.02171,0.56438,0.63178,0.50422,0.19165,2.04959,1.24673,0.8882,0.006865,0.006865,0.006865
97,2631.69,2.18538,1.39259,1.01171,0.57122,0.38439,0.43314,0.19785,1.85636,1.28104,0.88143,0.006832,0.006832,0.006832
98,2659.07,2.19279,1.35063,0.98032,0.42442,0.87646,0.69827,0.26734,1.89303,1.16579,0.88669,0.006799,0.006799,0.006799
99,2686.6,2.22058,1.33004,0.96459,0.61264,0.48446,0.53043,0.21943,2.14063,1.27504,0.90531,0.006766,0.006766,0.006766
100,2714.14,2.14634,1.42525,1.02265,0.43201,0.74082,0.64825,0.24745,1.87974,1.25102,0.87566,0.006733,0.006733,0.006733
101,2741.8,2.21952,1.33402,0.97686,0.5037,0.58323,0.644,0.24023,1.90498,1.25925,0.88249,0.0067,0.0067,0.0067
102,2769.14,2.22231,1.43468,1.08106,0.27882,0.50827,0.42093,0.17402,2.12212,1.34069,0.89885,0.006667,0.006667,0.006667
103,2796.51,2.27004,1.39744,1.01079,0.32308,0.57124,0.43863,0.18843,2.02043,1.26947,0.89995,0.006634,0.006634,0.006634
104,2823.91,2.16472,1.44359,1.04296,0.34463,0.4551,0.43808,0.18978,2.01264,1.29282,0.89,0.006601,0.006601,0.006601
105,2851.5,2.09629,1.28188,0.94404,0.59089,0.53756,0.44888,0.21165,1.85534,1.20126,0.87161,0.006568,0.006568,0.006568
106,2879.04,2.14645,1.42268,1.03878,0.54959,0.5494,0.43561,0.19581,1.94269,1.20948,0.88431,0.006535,0.006535,0.006535
107,2906.54,2.20393,1.40476,1.0482,0.39716,0.81884,0.48568,0.18085,1.93487,1.28186,0.87552,0.006502,0.006502,0.006502
108,2934.37,2.13553,1.33052,0.96484,0.52314,0.51857,0.43564,0.20786,1.8417,1.19199,0.87784,0.006469,0.006469,0.006469
109,2961.84,2.21498,1.35809,1.05207,0.69383,0.4312,0.5056,0.21891,1.93046,1.23064,0.88553,0.006436,0.006436,0.006436
110,2989.19,2.10555,1.34102,0.97676,0.31716,0.58544,0.47693,0.19133,2.04155,1.28401,0.88606,0.006403,0.006403,0.006403
111,3016.72,2.13937,1.32745,1.0047,0.398,0.78544,0.6415,0.21981,1.96304,1.35659,0.8837,0.00637,0.00637,0.00637
112,3044.25,2.08177,1.32485,0.9823,0.56055,0.44878,0.42789,0.18734,1.97842,1.2814,0.89015,0.006337,0.006337,0.006337
113,3071.82,2.13919,1.33149,0.95092,0.67259,0.3876,0.48416,0.20551,2.13123,1.22791,0.89291,0.006304,0.006304,0.006304
114,3099.84,2.08297,1.25734,0.93534,0.47278,0.8166,0.71603,0.28775,1.94581,1.16687,0.88107,0.006271,0.006271,0.006271
115,3127.43,2.1213,1.37344,0.99258,0.62622,0.43392,0.47259,0.21561,1.94011,1.16649,0.88936,0.006238,0.006238,0.006238
116,3154.84,2.14575,1.28855,0.95556,0.39895,0.84039,0.65553,0.27737,1.77372,1.2189,0.87006,0.006205,0.006205,0.006205
117,3182.33,2.0872,1.35286,1.00096,0.3012,0.73443,0.54313,0.25604,1.79197,1.15761,0.86805,0.006172,0.006172,0.006172
118,3210.26,2.17118,1.3776,1.00472,0.47309,0.77807,0.70969,0.29246,1.8434,1.14549,0.87443,0.006139,0.006139,0.006139
119,3237.83,2.03629,1.33936,0.99479,0.33214,0.61075,0.47024,0.21709,1.82324,1.16303,0.87213,0.006106,0.006106,0.006106
120,3265.14,2.09874,1.38991,1.05253,0.66507,0.54582,0.63906,0.26253,1.86521,1.1967,0.87234,0.006073,0.006073,0.006073
121,3293.01,2.15603,1.31725,0.99694,0.49747,0.75742,0.66346,0.25789,1.86697,1.14949,0.85912,0.00604,0.00604,0.00604
122,3320.41,2.05626,1.31578,0.99663,0.34314,0.78015,0.53004,0.25427,1.81886,1.20622,0.86245,0.006007,0.006007,0.006007
123,3347.97,2.08486,1.2828,0.96522,0.6225,0.59005,0.571,0.22709,1.83859,1.15843,0.85968,0.005974,0.005974,0.005974
124,3375.45,2.10914,1.3842,1.04401,0.50099,0.70129,0.51732,0.22056,1.81381,1.25636,0.86417,0.005941,0.005941,0.005941
125,3402.75,2.01261,1.3101,0.99735,0.6741,0.5516,0.63354,0.27002,1.88765,1.13215,0.87103,0.005908,0.005908,0.005908
126,3430.36,1.97709,1.29168,0.97173,0.35399,0.63552,0.47558,0.24093,1.82661,1.1979,0.8674,0.005875,0.005875,0.005875
127,3458.31,2.00783,1.27018,1.00107,0.409,0.59861,0.58823,0.28015,1.87457,1.09455,0.87186,0.005842,0.005842,0.005842
128,3486.03,2.03445,1.28781,0.96419,0.35769,0.93839,0.57557,0.29466,1.81013,1.10523,0.86508,0.005809,0.005809,0.005809
129,3513.62,2.04753,1.24863,1.00611,0.38562,0.84999,0.55653,0.27615,1.90864,1.16738,0.87365,0.005776,0.005776,0.005776
130,3540.97,2.00939,1.35907,1.05932,0.39984,0.88812,0.61102,0.31171,1.81815,1.09143,0.86512,0.005743,0.005743,0.005743
131,3568.82,2.07977,1.31729,1.01639,0.56061,0.7985,0.73059,0.34108,1.803,1.07908,0.86979,0.00571,0.00571,0.00571
132,3596.42,1.94463,1.27607,0.97849,0.50763,0.87973,0.74971,0.32078,1.80518,1.10755,0.87148,0.005677,0.005677,0.005677
133,3623.87,2.07058,1.43036,1.08441,0.57345,0.73923,0.76899,0.34303,1.75404,1.14295,0.86331,0.005644,0.005644,0.005644
134,3651.49,1.9961,1.32845,1.05268,0.48233,0.80667,0.76504,0.34724,1.77623,1.13565,0.86718,0.005611,0.005611,0.005611
135,3678.96,2.05486,1.36042,1.05488,0.68088,0.51544,0.52763,0.25855,1.86618,1.08856,0.87548,0.005578,0.005578,0.005578
136,3706.62,1.99355,1.35175,1.09413,0.59771,0.67677,0.63461,0.28517,1.7581,1.16797,0.87594,0.005545,0.005545,0.005545
137,3734.51,1.98539,1.21951,0.93438,0.65095,0.67599,0.63716,0.31631,1.8025,1.11377,0.87337,0.005512,0.005512,0.005512
138,3762.08,1.942,1.21718,0.97433,0.30233,0.71887,0.49329,0.24633,1.68012,1.25141,0.8626,0.005479,0.005479,0.005479
139,3789.7,1.97957,1.24328,0.96189,0.33539,0.90839,0.54782,0.24097,1.74643,1.18365,0.86193,0.005446,0.005446,0.005446
140,3817.67,1.97592,1.20395,0.95227,0.39173,0.5882,0.49688,0.23648,1.80471,1.18646,0.86293,0.005413,0.005413,0.005413
141,3845.04,2.01701,1.27491,0.98949,0.54464,0.81342,0.72307,0.28866,1.71398,1.06938,0.85932,0.00538,0.00538,0.00538
142,3872.66,1.98579,1.24137,1.00006,0.37434,0.57631,0.49728,0.23204,1.82915,1.17829,0.872,0.005347,0.005347,0.005347
143,3900.12,1.91602,1.18711,0.96744,0.60113,0.57516,0.5406,0.26852,1.71663,1.11237,0.85859,0.005314,0.005314,0.005314
144,3927.8,2.02539,1.27009,0.99905,0.59258,0.59762,0.55205,0.27408,1.77914,1.09571,0.8576,0.005281,0.005281,0.005281
145,3955.37,1.90728,1.23561,0.99058,0.35633,0.86454,0.57297,0.3002,1.71368,1.17643,0.85505,0.005248,0.005248,0.005248
146,3982.73,1.99954,1.30836,1.02394,0.31843,0.84762,0.51446,0.23046,1.89629,1.29548,0.87274,0.005215,0.005215,0.005215
147,4010.27,1.95408,1.2141,0.96337,0.39414,0.51218,0.54467,0.28616,1.72447,1.11653,0.8536,0.005182,0.005182,0.005182
148,4037.78,1.94435,1.23918,0.94505,0.42523,0.78292,0.56708,0.26641,1.85352,1.19361,0.8651,0.005149,0.005149,0.005149
149,4065.34,1.9451,1.21804,0.98282,0.53,0.59482,0.53803,0.29066,1.75087,1.2157,0.86143,0.005116,0.005116,0.005116
150,4092.95,1.92074,1.16627,0.92764,0.52646,0.76107,0.75047,0.32817,1.6719,1.12001,0.85357,0.005083,0.005083,0.005083
151,4120.92,1.90231,1.22781,0.98261,0.43638,0.96494,0.70691,0.34113,1.70526,1.05825,0.8573,0.00505,0.00505,0.00505
152,4148.68,1.91269,1.26999,1.05564,0.43168,0.8659,0.68724,0.3179,1.72736,1.14871,0.86346,0.005017,0.005017,0.005017
153,4176.18,1.88268,1.29356,1.03759,0.36549,0.81777,0.59375,0.29473,1.73863,1.11348,0.85401,0.004984,0.004984,0.004984
154,4203.91,1.87939,1.21268,0.95772,0.46141,0.62706,0.62887,0.31089,1.68642,1.03827,0.85448,0.004951,0.004951,0.004951
155,4232.05,1.84702,1.21503,0.99373,0.45753,0.80668,0.62283,0.29722,1.7811,1.0899,0.86576,0.004918,0.004918,0.004918
156,4259.56,1.89232,1.31967,1.01895,0.46029,0.79075,0.62372,0.31849,1.83575,1.11325,0.86249,0.004885,0.004885,0.004885
157,4287.17,1.9189,1.17089,0.96181,0.53209,0.7624,0.75032,0.38728,1.73892,1.11878,0.8562,0.004852,0.004852,0.004852
